,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
255963,128162,John William Wallace,M,30.0,192.0,88.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
257034,128709,Catherine Ward,F,22.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
257035,128709,Catherine Ward,F,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
257456,128917,Tara Leigh-Anne Watchorn,F,23.0,178.0,76.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
257535,128966,"Harold Ellis ""Harry"" Watson",M,25.0,,,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
257589,128991,"Robert McDonald ""Bob"" Watt",M,24.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
257724,129071,"Katherine Marie ""Katie"" Weatherston",F,22.0,163.0,66.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
257879,129157,Shea Michael Weber,M,24.0,193.0,104.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
257880,129157,Shea Michael Weber,M,28.0,193.0,104.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
259422,129886,"Jacob ""Jake"" Wetzel",M,31.0,195.0,94.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
259796,130061,Simon St. Quentin Whitfield,M,25.0,177.0,70.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Men's Olympic Distance,Gold
259989,130148,Hayley Marie Wickenheiser,F,23.0,178.0,77.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
259990,130148,Hayley Marie Wickenheiser,F,27.0,178.0,77.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
259991,130148,Hayley Marie Wickenheiser,F,31.0,178.0,77.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
259992,130148,Hayley Marie Wickenheiser,F,35.0,178.0,77.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
260087,130186,Erica Elizabeth Wiebe,F,27.0,175.0,75.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold
261082,130651,Percy Alfred Williams,M,19.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Gold
261083,130651,Percy Alfred Williams,M,19.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,Gold
262049,131112,Joseph Alston Wise,M,27.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
262849,131525,"Allan Charles ""Huck"" Woodman",M,21.0,179.0,75.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
263047,131623,Kay Frances Worthington (-Teti),F,32.0,177.0,72.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
263048,131623,Kay Frances Worthington (-Teti),F,32.0,177.0,72.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
266983,133576,"Stephen Gregory ""Steve"" Yzerman",M,36.0,180.0,84.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
